Reporter,TradeFlow,Year,Trade Value 1000USD,Quantity,Trade Value (USD)
Bulgaria,Export,2015,101.27,8269,101270
El Salvador,Export,2015,99.19,28753,99190
Czechia,Export,2015,82.45,3645,82450
Sri Lanka,Export,2015,77.3,11703,77300
New Zealand,Export,2015,74.59,25325,74590
Sweden,Export,2015,42.1,3717.28,42100
Slovenia,Export,2015,40.63,2895,40630
Oman,Export,2015,27.39,8200,27390
Australia,Export,2015,22.99,2449,22990
South Africa,Export,2015,21.54,3492.97,21540
Fiji,Export,2015,11.94,2878.4,11940
Denmark,Export,2015,7.31,321,7310
Japan,Export,2015,4.75,500,4750
Luxembourg,Export,2015,4.49,152,4490
Croatia,Export,2015,4.2,253,4200
Romania,Export,2015,3.33,775,3330
Finland,Export,2015,2.67,171,2670
Kenya,Export,2015,2.09,231,2090
Lithuania,Export,2015,1.23,143,1230
Niger,Export,2015,1.01,4000,1010
Serbia,Export,2015,0.57,31,570
Portugal,Export,2015,0.55,533,550
Latvia,Export,2015,0.37,25.2994,370
Greece,Export,2015,0.16,27,160
New Caledonia,Export,2015,0.14,11,140
Yemen,Export,2015,0.07,56,70
St. Vincent and the Grenadines,Export,2015,0.05,33,50
Kazakhstan,Export,2015,0.03,39,30
United Arab Emirates,Export,2015,0.03,2,30
Côte d'Ivoire,Export,2014,3054921.7,1.12E+09,3054921700
Ghana,Export,2014,2008156.87,7.91E+08,2008156870
Nigeria,Export,2014,627032.94,Unknown,627032940
Netherlands,Export,2014,609937.01,1.97E+08,609937010
Ecuador,Export,2014,587527.79,1.99E+08,587527790
Cameroon,Export,2014,563631.94,1.93E+08,563631940
Malaysia,Export,2014,293040.51,9.36E+07,293040510
Dominican Rep.,Export,2014,212116.27,6.82E+07,212116270
Indonesia,Export,2014,196492.39,6.33E+07,196492390
Peru,Export,2014,152842.38,4.72E+07,152842380
United States of America,Export,2014,143882.91,4.74E+07,143882910
Estonia,Export,2014,122740.69,4.23E+07,122740690
Belgium,Export,2014,77599.63,2.47E+07,77599630
Uganda,Export,2014,59428.91,2.59E+07,59428910
Germany,Export,2014,58838.19,1.81E+07,58838190
France,Export,2014,34468.29,8.66E+06,34468290
Togo,Export,2014,29398.93,9.62E+06,29398930
Colombia,Export,2014,24352.66,8.02E+06,24352660
Tanzania,Export,2014,22138.64,1.10E+07,22138640
Madagascar,Export,2014,19862.13,6.88E+06,19862130
European Union,Export,2014,15054.88,3.79E+06,15054880
Solomon Is.,Export,2014,12911.08,4.97E+06,12911080
Sao Tome and Principe,Export,2014,9334.86,3.19E+06,9334860
Turkey,Export,2014,8506.92,2.28E+06,8506920
Vietnam,Export,2014,6216.35,Unknown,6216350
Guinea,Export,2014,5551.44,6.51E+06,5551440
Philippines,Export,2014,4459.64,1.98E+06,4459640
Nicaragua,Export,2014,4225.31,2.11E+06,4225310
Panama,Export,2014,4055.67,1.08E+06,4055670
Grenada,Export,2014,2890.29,1.60E+06,2890290
Canada,Export,2014,2374.29,1.25E+06,2374290
United Kingdom,Export,2014,2370.73,861623,2370730
Brazil,Export,2014,2038.68,726974,2038680
Trinidad and Tobago,Export,2014,1861.97,369472,1861970
Switzerland,Export,2014,1635.14,281119,1635140
Jamaica,Export,2014,1616.69,445724,1616690
Italy,Export,2014,1486.7,435603,1486700
Sierra Leone,Export,2014,1265.55,359225,1265550
Costa Rica,Export,2014,929.01,338356,929010
Honduras,Export,2014,823.3,532559,823300
Mexico,Export,2014,763.8,192562,763800
Congo,Export,2014,751.08,821045,751080
Singapore,Export,2014,733.39,242525,733390
China,Export,2014,485.79,153220,485790
Sri Lanka,Export,2014,440.16,145935,440160
Bolivia,Export,2014,341.07,62200,341070
India,Export,2014,249.13,84920,249130
Belize,Export,2014,236.98,115940,236980
Austria,Export,2014,235.56,95200,235560
Japan,Export,2014,230.84,61679,230840
Czechia,Export,2014,126.88,4679,126880
Croatia,Export,2014,111.38,42910,111380
Spain,Export,2014,95.31,37032.5,95310
St. Lucia,Export,2014,88.93,19858,88930
Bosnia and Herz.,Export,2014,85.45,23936,85450
Guatemala,Export,2014,67.27,47191,67270
Lebanon,Export,2014,61.65,2011,61650
Poland,Export,2014,46.45,7820,46450
Fiji,Export,2014,45.07,9429,45070
Bulgaria,Export,2014,41.77,2537,41770
Slovenia,Export,2014,34.35,1575,34350
El Salvador,Export,2014,29.72,7318.21,29720
Armenia,Export,2014,28.67,15784,28670
South Africa,Export,2014,28.03,5292.37,28030
New Zealand,Export,2014,26.23,1361,26230
Denmark,Export,2014,23.16,24350,23160
Nepal,Export,2014,19.84,3630,19840
eSwatini,Export,2014,18.77,34000,18770
Sweden,Export,2014,18.41,6033.89,18410
Australia,Export,2014,14.15,1404,14150
Samoa,Export,2014,13.39,8454,13390
Egypt,Export,2014,8.58,680,8580
Finland,Export,2014,4.49,328,4490
"Gambia, The",Export,2014,2.98,1500,2980
Russia,Export,2014,2.81,671,2810
Romania,Export,2014,2.59,702,2590
Georgia,Export,2014,2.3,302,2300
Norway,Export,2014,1.54,80,1540
Iceland,Export,2014,1.37,57,1370
Belarus,Export,2014,1,104,1000
Luxembourg,Export,2014,0.58,26,580
United Arab Emirates,Export,2014,0.42,750,420
Thailand,Export,2014,0.26,21,260
Guyana,Export,2014,0.23,20,230
"Other Asia, nes",Export,2014,0.2,40,200
Kazakhstan,Export,2014,0.07,10,70
Zambia,Export,2014,0.07,3420,70
Namibia,Export,2014,0.04,5,40
Lithuania,Export,2014,0.03,3,30
Hungary,Export,2014,0.02,2,20
Côte d'Ivoire,Export,2013,2679171.95,1.11E+09,2679171950
Nigeria,Export,2013,1542736.35,1.84E+08,1542736350
Ghana,Export,2013,1380501.32,5.26E+08,1380501320
Netherlands,Export,2013,491740.65,1.72E+08,491740650
Cameroon,Export,2013,453450.33,1.93E+08,453450330
Indonesia,Export,2013,446094.72,1.88E+08,446094720
Ecuador,Export,2013,433271.85,1.78E+08,433271850
Dominican Rep.,Export,2013,162288.86,6.36E+07,162288860
Estonia,Export,2013,131105.56,4.94E+07,131105560
Malaysia,Export,2013,113920.36,4.29E+07,113920360
Peru,Export,2013,84446.95,3.13E+07,84446950
Uganda,Export,2013,54832.82,2.63E+07,54832820
Germany,Export,2013,45924.71,1.67E+07,45924710
United States of America,Export,2013,39655.93,1.72E+07,39655930
Belgium,Export,2013,37944.09,1.32E+07,37944090
Colombia,Export,2013,18310.56,7.69E+06,18310560
Tanzania,Export,2013,16360.99,9.93E+06,16360990
Togo,Export,2013,15075.71,6.23E+06,15075710
France,Export,2013,13791.82,3.40E+06,13791820
Madagascar,Export,2013,13177.83,6.06E+06,13177830
Nicaragua,Export,2013,9506.19,3.53E+06,9506190
Solomon Is.,Export,2013,9200.14,4.22E+06,9200140
European Union,Export,2013,8017.53,2.24E+06,8017530
Vietnam,Export,2013,7157.88,Unknown,7157880
Turkey,Export,2013,6065.53,2.14E+06,6065530
Sao Tome and Principe,Export,2013,5415.27,2.63E+06,5415270
Venezuela,Export,2013,4936.69,2.27E+06,4936690
Mexico,Export,2013,3935.26,2.25E+06,3935260
United Kingdom,Export,2013,3241.33,1.95E+06,3241330
Grenada,Export,2013,2816.1,997542,2816100
China,Export,2013,2668.12,977001,2668120
Singapore,Export,2013,2288.71,855612,2288710
Guinea,Export,2013,2227.06,4.47E+06,2227060
Italy,Export,2013,2184.78,942417,2184780
Trinidad and Tobago,Export,2013,1725.81,364323,1725810
Switzerland,Export,2013,1516.8,263039,1516800
Panama,Export,2013,1494.62,484270,1494620
Brazil,Export,2013,1365.98,348886,1365980
Philippines,Export,2013,1078.12,553449,1078120
Congo,Export,2013,956.83,1.25E+06,956830
Jamaica,Export,2013,832.96,458848,832960
Costa Rica,Export,2013,825.92,265748,825920
Bolivia,Export,2013,796.24,191455,796240
Spain,Export,2013,330.78,118166,330780
Canada,Export,2013,328.07,121210,328070
India,Export,2013,193,69118,193000
Japan,Export,2013,127.45,53436,127450
St. Lucia,Export,2013,122.31,25851,122310
Belize,Export,2013,118.31,64300,118310
Croatia,Export,2013,112.36,59007,112360
Saudi Arabia,Export,2013,101.87,19000,101870
Poland,Export,2013,72.64,13803,72640
Austria,Export,2013,67.31,117868,67310
Czechia,Export,2013,66.82,16215,66820
Russia,Export,2013,58.92,7120,58920
Sri Lanka,Export,2013,52.33,Unknown,52330
Slovenia,Export,2013,47.9,2188,47900
El Salvador,Export,2013,42.38,9196.13,42380
Lebanon,Export,2013,40.27,1530,40270
Guatemala,Export,2013,38.38,53704,38380
Finland,Export,2013,30.86,2011,30860
Zambia,Export,2013,26.67,6400,26670
Sweden,Export,2013,21.65,8944.59,21650
"Hong Kong, China",Export,2013,19.36,Unknown,19360
Norway,Export,2013,17.75,499,17750
South Africa,Export,2013,12.13,2853.52,12130
Fiji,Export,2013,10.66,2780,10660
Australia,Export,2013,3.86,448,3860
New Zealand,Export,2013,3.82,257,3820
Kuwait,Export,2013,3.38,245,3380
Portugal,Export,2013,2.17,308,2170
Denmark,Export,2013,2.12,83,2120
Tunisia,Export,2013,1.96,13600,1960
"Other Asia, nes",Export,2013,1.21,230,1210
Kazakhstan,Export,2013,1.04,428,1040
Bahrain,Export,2013,1.01,200,1010
Samoa,Export,2013,1.01,644,1010
New Caledonia,Export,2013,0.97,146,970
Luxembourg,Export,2013,0.58,23,580
Namibia,Export,2013,0.39,255,390
Kenya,Export,2013,0.33,80,330
Thailand,Export,2013,0.29,15,290
Greece,Export,2013,0.13,19,130
Botswana,Export,2013,0.03,25,30
Nigeria,Export,2012,3033000.41,2.10E+08,3033000410
Côte d'Ivoire,Export,2012,2324954.24,1.01E+09,2324954240
Ghana,Export,2012,1967761.66,5.86E+08,1967761660
Netherlands,Export,2012,413172.53,1.42E+08,413172530
Cameroon,Export,2012,394829.41,1.74E+08,394829410
Indonesia,Export,2012,384829.79,1.64E+08,384829790
Ecuador,Export,2012,346190.66,1.47E+08,346190660
Dominican Rep.,Export,2012,173946.44,6.56E+07,173946440
Estonia,Export,2012,158602.85,5.67E+07,158602850
Malaysia,Export,2012,129157.5,4.77E+07,129157500
Papua New Guinea,Export,2012,83920.41,9.51E+08,83920410
Peru,Export,2012,69034.37,2.68E+07,69034370
Uganda,Export,2012,38433.73,1.97E+07,38433730
Belgium,Export,2012,36651.42,1.12E+07,36651420
United States of America,Export,2012,35154.38,1.41E+07,35154380
Germany,Export,2012,31029.42,1.23E+07,31029420
Tanzania,Export,2012,20632.87,8.86E+06,20632870
France,Export,2012,14787.19,4.91E+06,14787190
European Union,Export,2012,12332.94,4.01E+06,12332940
Colombia,Export,2012,10515.49,4.32E+06,10515490
Togo,Export,2012,10137.92,4.71E+06,10137920
Solomon Is.,Export,2012,8906.76,6.94E+06,8906760
Madagascar,Export,2012,8846.68,3.80E+06,8846680
Vietnam,Export,2012,6548.66,Unknown,6548660
Nicaragua,Export,2012,5528.22,2.69E+06,5528220
Sao Tome and Principe,Export,2012,4829.31,2.23E+06,4829310
Singapore,Export,2012,3680.52,1.38E+06,3680520
United Kingdom,Export,2012,3437.14,1.77E+06,3437140
Grenada,Export,2012,3300.15,905799,3300150
Jamaica,Export,2012,2321.57,626549,2321570
Latvia,Export,2012,2125.77,713909,2125770
Thailand,Export,2012,1988.89,595719,1988890
Brazil,Export,2012,1976.46,Unknown,1976460
Trinidad and Tobago,Export,2012,1702.25,368517,1702250
Panama,Export,2012,1597.91,708185,1597910
Switzerland,Export,2012,1554.65,297494,1554650
Turkey,Export,2012,1507.27,523545,1507270
Bolivia,Export,2012,1406.22,365401,1406220
Italy,Export,2012,1373.71,476897,1373710
Mexico,Export,2012,986.56,277007,986560
India,Export,2012,723.22,226495,723220
Canada,Export,2012,666.76,364000,666760
Philippines,Export,2012,639.43,440240,639430
Australia,Export,2012,596.2,68365,596200
Costa Rica,Export,2012,569.02,248738,569020
eSwatini,Export,2012,272.23,170067,272230
Honduras,Export,2012,265.7,175185,265700
Belize,Export,2012,199.92,122000,199920
Congo,Export,2012,157.65,536252,157650
Spain,Export,2012,145.66,42786.8,145660
Japan,Export,2012,119.94,19245,119940
El Salvador,Export,2012,47.31,11658.9,47310
Austria,Export,2012,38.6,148831,38600
Slovenia,Export,2012,21.56,997,21560
Denmark,Export,2012,21.45,3635,21450
Guatemala,Export,2012,19.08,56569,19080
South Africa,Export,2012,17.54,7515.39,17540
Czechia,Export,2012,15.99,1096,15990
Sri Lanka,Export,2012,12.65,25791,12650
"Hong Kong, China",Export,2012,12.07,300,12070
Lithuania,Export,2012,8.76,543,8760
Poland,Export,2012,7.08,1111,7080
Finland,Export,2012,6.92,484,6920
Bahrain,Export,2012,4.86,660,4860
Norway,Export,2012,4.42,124,4420
"Other Asia, nes",Export,2012,3.21,380,3210
Kazakhstan,Export,2012,3.19,700,3190
Sweden,Export,2012,2.95,1164.02,2950
Lebanon,Export,2012,2.86,418,2860
Greece,Export,2012,2.7,3000,2700
Fiji,Export,2012,1.78,1015,1780
United Arab Emirates,Export,2012,1.23,500,1230
Oman,Export,2012,0.57,1200,570
Luxembourg,Export,2012,0.48,24,480
Portugal,Export,2012,0.46,43,460
Serbia,Export,2012,0.42,80,420
Ukraine,Export,2012,0.3,3,300
Samoa,Export,2012,0.21,180,210
Dominica,Export,2012,0.18,4,180
Namibia,Export,2012,0.18,6500,180
Lesotho,Export,2012,0.04,1,40
