Region,Year,Cocoa beans (tonnes)
North America,1972,97044
North America,1973,91210
North America,1974,95032
North America,1975,87991
North America,1976,85381
North America,1977,85935
North America,1978,110753
North America,1979,101418
North America,1980,84899
North America,1981,84067
North America,1982,97848
North America,1983,96266
North America,1984,102857
North America,1985,109386
North America,1986,106087
North America,1987,110383
North America,1988,119594
North America,1989,122771
North America,1990,112129
North America,1991,114453.85
North America,1992,115132.54
North America,1993,130947.23
North America,1994,127708.21
North America,1995,131722.5
North America,1996,122446.1
North America,1997,115458.84
North America,1998,121477.84
North America,1999,83794.76
North America,2000,82902.09
North America,2001,111046.82
North America,2002,113129.37
North America,2003,118120.76
North America,2004,113969.71
North America,2005,88741.34
North America,2006,108749.69
North America,2007,108376.03
North America,2008,120880.484
North America,2009,142465.9
North America,2010,138375.45
North America,2011,127221.93
North America,2012,144902.06
North America,2013,137302.03
North America,2014,134134.98
North America,2015,142976.28
North America,2016,148015.69
North America,2017,140707.17
North America,2018,143082.86
North America,2019,135251.08
North America,2020,135449.22
North America,2021,127806.125
